24.8630  103.9140    6.00   2.80 0.0 0.0 0.0    287189
24.8950  103.0340    5.00   2.60 0.0 0.0 0.0    312897
24.6190  103.0340    7.00   2.90 0.0 0.0 0.0    319404
24.3670  103.9030    7.00   3.20 0.0 0.0 0.0    403492
24.3610  103.9130    5.00   3.50 0.0 0.0 0.0    403504
24.2040  103.6470   16.00   3.90 0.0 0.0 0.0    566043
24.4450  104.4180    7.00   2.90 0.0 0.0 0.0    261245
24.5320  104.2630    6.00   3.10 0.0 0.0 0.0    274426
24.7530  104.7050    5.00   3.30 0.0 0.0 0.0    296588
24.8690  104.7240    5.00   3.60 0.0 0.0 0.0    473607
24.2650  104.8940   19.00   2.90 0.0 0.0 0.0    522146
24.6520  104.2380   10.00   2.60 0.0 0.0 0.0    573119
24.9770  105.0600    7.00   3.40 0.0 0.0 0.0    232502
24.9500  105.0710    7.00   2.30 0.0 0.0 0.0    232651
24.9140  105.0140    9.00   2.00 0.0 0.0 0.0    290776
24.6110  105.4090    5.00   3.00 0.0 0.0 0.0    300764
24.9460  105.3090    6.00   2.60 0.0 0.0 0.0    485160
24.1200  105.0450   11.00   2.00 0.0 0.0 0.0    550745
24.7190  105.0800    9.00   2.50 0.0 0.0 0.0    568885
24.3820  106.8970    5.00   2.80 0.0 0.0 0.0    264592
24.9920  106.2060    9.00   2.10 0.0 0.0 0.0    315045
24.4230  106.0850    5.00   3.00 0.0 0.0 0.0    430286
25.9030   96.9220   19.00   3.10 0.0 0.0 0.0    360227
25.0630   96.5440    5.00   3.00 0.0 0.0 0.0    361768
25.4130   96.5990   16.00   3.50 0.0 0.0 0.0    398375
25.4880   96.6130   10.00   2.80 0.0 0.0 0.0    417897
25.4120   96.7450   21.00   3.10 0.0 0.0 0.0    465936
25.4100   96.5700    8.00   4.10 0.0 0.0 0.0    466136
25.0920   96.7100   17.00   3.00 0.0 0.0 0.0    467976
25.1680   96.6410   10.00   2.80 0.0 0.0 0.0    502475
25.3880   96.6320   12.00   3.80 0.0 0.0 0.0    583487
25.0150   97.8370    5.00   3.90 0.0 0.0 0.0    407973
25.0110   97.8600   10.00   3.70 0.0 0.0 0.0    407981
25.0400   97.8480   10.00   3.90 0.0 0.0 0.0    408052
25.0200   97.8000   12.00   6.10 0.0 0.0 0.0    410042
25.0510   97.8260    4.00   4.10 0.0 0.0 0.0    410310
25.0410   97.8300    5.00   3.80 0.0 0.0 0.0    415525
25.2440   98.8820    6.00   3.50 0.0 0.0 0.0    259131
25.9280   98.5360    6.00   3.70 0.0 0.0 0.0    290421
25.0460   98.6460    6.00   3.70 0.0 0.0 0.0    292495
25.0620   98.6650    7.00   4.00 0.0 0.0 0.0    294220
25.9550   98.9080    9.00   4.10 0.0 0.0 0.0    358152
25.9050   98.6730   18.00   3.60 0.0 0.0 0.0    463757
25.8780   98.8060   15.00   4.00 0.0 0.0 0.0    560623
25.0990   99.9790    5.00   3.80 0.0 0.0 0.0    325387
25.7100   99.8600   10.00   4.50 0.0 0.0 0.0    530579
25.7400   99.8600   10.00   4.40 0.0 0.0 0.0    530584
25.8100   99.8100   10.00   4.40 0.0 0.0 0.0    542606
25.8900   99.8000   12.00   5.10 0.0 0.0 0.0    542647
25.8700   99.8100   10.00   4.90 0.0 0.0 0.0    542655
25.5840  100.9800    6.00   4.10 0.0 0.0 0.0    239480
25.5980  100.9810    7.00   4.10 0.0 0.0 0.0    240196
25.8100  100.6230    5.00   4.10 0.0 0.0 0.0    393161
25.8820  100.5030    7.00   4.10 0.0 0.0 0.0    422961
25.8640  100.4810    5.00   3.90 0.0 0.0 0.0    423658
25.4350  100.3270   17.00   3.60 0.0 0.0 0.0    547878
25.5400  101.0400   10.00   4.90 0.0 0.0 0.0    231512
25.4200  101.9400   20.00   5.20 0.0 0.0 0.0    251628
25.4130  101.9180    6.00   2.90 0.0 0.0 0.0    257248
25.4250  101.9360    6.00   3.30 0.0 0.0 0.0    264298
25.4280  101.9360    6.00   3.20 0.0 0.0 0.0    264731
25.4440  101.9160    6.00   3.60 0.0 0.0 0.0    268297
25.6110  101.7520    7.00   3.10 0.0 0.0 0.0    271761
25.5110  101.9020   12.00   3.80 0.0 0.0 0.0    478944
25.7560  102.2870    9.00   3.10 0.0 0.0 0.0    244918
25.7650  102.2800    7.00   3.30 0.0 0.0 0.0    251137
25.7480  102.2900    7.00   4.00 0.0 0.0 0.0    251232
25.7640  102.2710    5.00   3.20 0.0 0.0 0.0    251295
25.9110  102.1990   10.00   3.30 0.0 0.0 0.0    362396
25.8030  102.2690   12.00   3.00 0.0 0.0 0.0    478893
25.8730  102.2940    5.00   3.10 0.0 0.0 0.0    557315
25.4210  103.8940    7.00   2.90 0.0 0.0 0.0    232295
25.6280  103.1260    6.00   2.30 0.0 0.0 0.0    239009
25.6120  103.8440    6.00   2.50 0.0 0.0 0.0    305358
25.8460  103.0290    5.00   2.10 0.0 0.0 0.0    340563
25.3100  103.0900   16.00   4.60 0.0 0.0 0.0    472697
25.2520  103.1510    9.00   2.90 0.0 0.0 0.0    583542
