#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   116.9    40.6    4.40   -1.50    0.26    0.32  0  A320
   117.0    40.8    5.35   -0.54    0.69    0.31  0  A321
   117.4    40.7    5.08   -1.08    0.42    0.29  0  A322
   117.7    40.8    5.54   -0.84    0.24    0.33  0  A323
   118.1    40.5    4.20   -0.63    0.61    0.31  0  A324
   118.3    41.0    5.21   -0.83    0.44    0.20  0  A325
   118.5    41.4    4.00   -0.64    0.34    0.49  0  A326
   118.5    40.3    4.53   -0.66    0.43    0.30  0  A327
   118.9    40.1    3.73   -1.04    0.25    0.21  0  A328
   120.0    40.2    4.36   -0.93    0.25    0.16  0  A329
   120.2    40.6    4.55   -1.35    0.32    0.33  0  A330
   116.1    40.5    5.02   -2.20    0.39    0.27  0  A331
   115.6    40.5    4.35   -0.49    0.30    0.27  0  A332
   116.3    40.4    4.72   -1.88    0.34    0.37  0  A333
   113.5    40.3    4.74   -0.43    0.37    0.17  0  A334
   114.1    40.3    4.34   -0.84    0.24    0.19  0  A335
   116.8    40.2    4.62   -0.76    0.33    0.16  0  A336
   116.5    40.2    3.54   -1.42    0.27    0.10  0  A337
   115.6    40.2    4.66   -1.26    0.20    0.19  0  A338
   116.0    40.1    5.18   -0.11    0.27    0.28  0  A339
   118.0    40.1    3.37    0.13    0.41    0.17  0  A340
   114.6    40.0    5.19   -2.13    0.20    0.23  0  A341
   113.4    40.1    4.57   -0.88    0.25    0.22  0  A342
   116.4    40.1    2.45   -0.97    0.25    0.26  0  A343
   118.4    39.9    4.09   -0.17    0.37    0.23  0  A346
   113.4    39.9    5.32   -3.28    0.33    0.74  0  A347
   114.9    39.9    4.48   -0.79    0.14    0.23  0  A348
   117.5    39.9    5.83   -0.73    0.46    0.30  0  A349
   113.9    39.8    5.22   -1.87    0.42    0.33  0  A350
   117.9    39.9    4.53   -0.59    0.37    0.17  0  A351
   115.7    39.8    5.50   -0.51    0.45    0.39  0  A352
   115.9    39.8    8.38   -2.30    0.57    0.31  0  A353
   113.5    39.8    5.26   -1.39    0.32    0.29  0  A354
   116.6    39.7    5.59    0.06    0.28    0.28  0  A355
   115.9    39.7    6.46   -1.19    0.19    0.24  0  A356
   116.7    39.7    4.91   -1.93    0.51    0.25  0  A357
   113.8    39.6    5.57   -0.90    0.15    0.23  0  A358
   114.4    39.5    3.26    0.71    0.39    0.41  0  A359
